top - 18:42:23 up  8:06,  1 user,  load average: 2.07, 1.21, 0.78
Tasks: 258 total,   5 running, 250 sleeping,   3 stopped,   0 zombie
%Cpu(s): 44.4 us, 26.4 sy,  0.0 ni, 29.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3883.9 total,   1587.4 free,   1168.4 used,   1427.7 buff/cache     
MiB Swap:   1024.0 total,   1023.5 free,      0.5 used.   2715.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    109 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
    110 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
    112 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
    113 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
    114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
    115 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
    116 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
    117 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
    118 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
    119 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
    120 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
    121 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
    122 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
    123 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
    124 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
    125 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
    126 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
    127 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
